index,transaction_id,customer_id,transaction_date,transaction_time,amount,merchant_category,payment_method,location,device_type,is_fraud,previous_transactions,account_age_days,failed_attempts
56,TXN0057,CUST1009,2026-08-15,09:45:00,5927.7,Gaming,Wallet,Indore,Mobile,0,37,510,2
57,TXN0058,CUST1005,2026-08-05,14:24:00,10824.37,Electronics,Net Banking,Gwalior,Desktop,0,20,1476,1
58,TXN0059,CUST1018,2026-08-15,20:03:00,12417.8,Travel,UPI,Indore,Desktop,0,27,890,3
59,TXN0060,CUST1016,2026-08-01,18:19:00,12038.86,Online Shopping,Card,Gwalior,Mobile,0,50,888,4
60,TXN0061,CUST1009,2026-08-14,22:01:00,5310.97,Online Shopping,Net Banking,Jaipur,Mobile,0,50,718,5
61,TXN0062,CUST1027,2026-08-15,11:39:00,7324.99,Travel,UPI,Delhi,Tablet,0,69,85,3
62,TXN0063,CUST1014,2026-08-05,21:11:00,9758.8,Gaming,Card,Gwalior,Desktop,0,7,562,3
63,TXN0064,CUST1011,2026-08-25,19:17:00,12207.07,Food,UPI,Jaipur,Tablet,0,54,546,0
64,TXN0065,CUST1002,2026-08-12,14:41:00,6679.14,Electronics,Card,Mumbai,Mobile,0,9,1364,0
65,TXN0066,CUST1020,2026-08-05,14:08:00,7794.5,Travel,Card,Gwalior,Tablet,0,61,1401,0
66,TXN0067,CUST1009,2026-08-25,18:10:00,4295.93,Online Shopping,UPI,Mumbai,Desktop,0,78,1273,5
67,TXN0068,CUST1004,2026-08-19,07:59:00,3954.41,Food,Net Banking,Jaipur,Mobile,0,40,1209,5
68,TXN0069,CUST1003,2026-08-19,01:06:32,18521.02,Travel,UPI,Bhopal,Tablet,1,63,297,8
69,TXN0070,CUST1014,2026-08-22,18:04:00,11587.6,Electronics,Net Banking,Gwalior,Mobile,0,65,1356,2
70,TXN0071,CUST1014,2026-08-12,21:45:00,13653.71,Online Shopping,Wallet,Indore,Tablet,0,20,921,1
71,TXN0072,CUST1025,2026-08-16,21:27:00,8226.36,Grocery,UPI,Bhopal,Desktop,0,76,579,2
72,TXN0073,CUST1008,2026-08-25,21:36:00,12313.43,Gaming,UPI,Gwalior,Desktop,0,79,1398,3
73,TXN0074,CUST1006,2026-08-16,13:22:00,9874.22,Travel,Wallet,Indore,Mobile,0,34,727,2
74,TXN0075,CUST1017,2026-08-07,09:15:00,6048.54,Grocery,Net Banking,Jaipur,Tablet,0,53,1030,4
75,TXN0076,CUST1016,2026-08-15,07:05:00,9873.3,Online Shopping,Card,Bhopal,Tablet,0,38,483,3
76,TXN0077,CUST1019,2026-08-12,22:35:00,14344.54,Online Shopping,Wallet,Bhopal,Tablet,0,68,734,3
77,TXN0078,CUST1015,2026-08-09,16:16:00,8363.86,Grocery,Wallet,Delhi,Tablet,0,30,277,5
78,TXN0079,CUST1018,2026-08-25,12:12:00,14445.65,Online Shopping,Wallet,Delhi,Mobile,0,28,1021,2
79,TXN0080,CUST1010,2026-08-08,18:11:00,150.0,Travel,Card,Bhopal,Mobile,0,39,58,5
80,TXN0081,CUST1002,2026-08-18,16:44:00,11623.23,Electronics,UPI,Indore,Desktop,0,17,1336,3
81,TXN0082,CUST1016,2026-08-16,21:21:00,8830.78,Food,UPI,Delhi,Desktop,0,24,135,2
82,TXN0083,CUST1016,2026-08-03,08:09:00,7363.77,Electronics,Card,Delhi,Tablet,0,20,1182,2
83,TXN0084,CUST1025,2026-08-14,14:49:00,8848.69,Food,Wallet,Indore,Desktop,0,67,809,3
84,TXN0085,CUST1010,2026-08-19,23:03:32,14526.86,Online Shopping,UPI,Mumbai,Mobile,1,38,482,4
85,TXN0086,CUST1006,2026-08-18,09:10:00,947.24,Online Shopping,Net Banking,Bhopal,Mobile,0,1,866,3
86,TXN0087,CUST1008,2026-08-10,16:44:00,7665.25,Grocery,Wallet,Jaipur,Tablet,0,59,175,5
87,TXN0088,CUST1022,2026-08-26,13:27:00,9857.03,Online Shopping,Card,Bhopal,Mobile,0,15,1145,1
88,TXN0089,CUST1003,2026-08-02,12:50:00,14116.0,Travel,Wallet,Gwalior,Mobile,0,40,1248,5
89,TXN0090,CUST1015,2026-08-23,16:44:00,6530.57,Travel,Net Banking,Gwalior,Mobile,0,52,587,4
90,TXN0091,CUST1020,2026-08-02,20:47:00,5427.72,Electronics,UPI,Mumbai,Tablet,0,42,1266,2
91,TXN0092,CUST1027,2026-08-28,07:48:00,6593.32,Grocery,Net Banking,Indore,Tablet,0,35,1210,0
92,TXN0093,CUST1015,2026-08-09,12:37:00,11978.53,Electronics,Net Banking,Bhopal,Desktop,0,56,1330,3
93,TXN0094,CUST1011,2026-08-11,10:54:00,9749.25,Online Shopping,Net Banking,Bhopal,Tablet,0,21,705,3
94,TXN0095,CUST1013,2026-08-27,08:29:00,6486.91,Gaming,UPI,Gwalior,Tablet,0,12,674,2
95,TXN0096,CUST1027,2026-08-01,21:26:00,10450.42,Gaming,Net Banking,Jaipur,Desktop,0,7,414,4
96,TXN0097,CUST1025,2026-08-02,13:17:00,8868.89,Food,Net Banking,Delhi,Mobile,0,71,298,2
97,TXN0098,CUST1021,2026-08-20,14:45:00,12180.85,Electronics,Net Banking,Delhi,Mobile,0,21,666,4
98,TXN0099,CUST1027,2026-08-04,21:07:00,5832.2,Gaming,Wallet,Gwalior,Desktop,0,20,1050,5
99,TXN0100,CUST1016,2026-08-08,21:35:00,7254.88,Travel,Card,Delhi,Desktop,0,19,815,1
100,TXN0101,CUST1025,2026-08-26,20:21:00,7009.99,Gaming,Wallet,Indore,Tablet,0,65,577,0
101,TXN0102,CUST1022,2026-08-16,01:28:32,24990.71,Food,Wallet,Mumbai,Tablet,1,60,1162,5
102,TXN0103,CUST1008,2026-08-19,19:14:00,2938.64,Online Shopping,Net Banking,Jaipur,Desktop,0,53,119,2
103,TXN0104,CUST1013,2026-08-22,11:31:00,9625.26,Travel,Wallet,Delhi,Desktop,0,5,288,4
104,TXN0105,CUST1004,2026-08-17,21:00:00,9492.01,Grocery,UPI,Gwalior,Desktop,0,19,869,5
105,TXN0106,CUST1011,2026-08-20,19:41:00,8519.43,Travel,Net Banking,Bhopal,Tablet,0,11,702,5
106,TXN0107,CUST1023,2026-08-25,22:55:00,7608.57,Electronics,Card,Jaipur,Tablet,0,70,103,4
107,TXN0108,CUST1030,2026-08-10,14:47:00,3121.59,Online Shopping,UPI,Gwalior,Mobile,0,12,918,0
108,TXN0109,CUST1023,2026-08-10,07:02:00,6901.55,Gaming,Wallet,Gwalior,Mobile,0,42,144,2
109,TXN0110,CUST1008,2026-08-17,20:36:00,7197.68,Electronics,Net Banking,Indore,Tablet,0,24,378,1
110,TXN0111,CUST1008,2026-08-16,11:14:00,5451.35,Food,Wallet,Jaipur,Mobile,0,60,1336,2
111,TXN0112,CUST1029,2026-08-26,21:57:00,7887.11,Grocery,UPI,Gwalior,Desktop,0,37,1417,4
112,TXN0113,CUST1019,2026-08-10,20:44:00,10035.39,Grocery,Net Banking,Gwalior,Mobile,0,33,965,2
113,TXN0114,CUST1008,2026-08-13,18:36:00,14900.0,Electronics,Net Banking,Bhopal,Mobile,0,38,1462,2
114,TXN0115,CUST1019,2026-08-28,00:58:32,25019.97,Gaming,Card,Jaipur,Mobile,1,43,521,6
115,TXN0116,CUST1020,2026-08-09,11:40:00,9163.4,Electronics,Wallet,Gwalior,Mobile,0,13,1315,5
116,TXN0117,CUST1019,2026-08-12,11:05:00,9478.69,Food,Card,Mumbai,Mobile,0,38,699,5
117,TXN0118,CUST1026,2026-08-18,18:33:00,8217.11,Gaming,Net Banking,Bhopal,Tablet,0,65,588,1
118,TXN0119,CUST1028,2026-08-11,10:29:00,1208.67,Online Shopping,Net Banking,Indore,Desktop,0,10,318,1
119,TXN0120,CUST1003,2026-08-26,19:00:00,8399.25,Food,Wallet,Jaipur,Tablet,0,34,1128,0
